,num,p_num,unique_id,author,publish_year,title,m_num,lat,long,climate_region,country,state_province,estuary,marsh,specific_site,time_frame,repeat.,sampling_year,sampling_year_full,specific_date_condition,specific_time,month,season,plant_species,plant_comment,section,tide,salinity,salinity_loc,ch4_n,ch4_flux,ch4_var,ch4_var_type,ch4_units,ch4_chamber,ch4_loc,soil_temp,soil_source,soil_temp_var,pw_salinity,pw_salinity_var,pw_conductivity,pw_conductivity_var,cond_convert,salinity_conductivity,enviro_source,ch4_method,ch4_method_simple,method,brand,brand2,model,group_key
174,193,15,526,Czapla et al.,2020,"Net Ecosystem Carbon Balance in a North Carolina, USA, Salt Marsh",3,34.596012,-77.255933,subtropical/warm temperate,USA,North Carolina,New River Estuary,Freeman Creek Edge,NA,fall,NA,2015,2015,NA,NA,fall,fall,Spartina alterniflora,NA,creek edge,microtidal,euhaline,salinity in paper,3,3.454259,2.259553,SE,mg/m2/d,,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,in situ closed chamber with laser absorption spectroscopy portable gas analyzer,in situ,in situ closed chamber with laser absorption spectroscopy portable gas analyzer,LGR,,LGR Los Gatos Ultraportable Greenhouse Gas Analyzer,15_New River Estuary_Freeman Creek Edge_2015_fall_Spartina alterniflora_euhaline__NA_creek edge
175,194,15,527,Czapla et al.,2020,"Net Ecosystem Carbon Balance in a North Carolina, USA, Salt Marsh",4,34.596012,-77.255933,subtropical/warm temperate,USA,North Carolina,New River Estuary,Freeman Creek Edge,NA,winter,NA,2015,2015,NA,NA,winter,winter,Spartina alterniflora,NA,creek edge,microtidal,euhaline,salinity in paper,3,0.571381,0.363606,SE,mg/m2/d,,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,in situ closed chamber with laser absorption spectroscopy portable gas analyzer,in situ,in situ closed chamber with laser absorption spectroscopy portable gas analyzer,LGR,,LGR Los Gatos Ultraportable Greenhouse Gas Analyzer,15_New River Estuary_Freeman Creek Edge_2015_winter_Spartina alterniflora_euhaline__NA_creek edge
176,195,15,528,Czapla et al.,2020,"Net Ecosystem Carbon Balance in a North Carolina, USA, Salt Marsh",5,34.596012,-77.255933,subtropical/warm temperate,USA,North Carolina,New River Estuary,Freeman Creek Edge,NA,spring,NA,2016,2016,NA,NA,spring,spring,Spartina alterniflora,NA,creek edge,microtidal,euhaline,salinity in paper,3,1.350537,3.064681,SE,mg/m2/d,,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,in situ closed chamber with laser absorption spectroscopy portable gas analyzer,in situ,in situ closed chamber with laser absorption spectroscopy portable gas analyzer,LGR,,LGR Los Gatos Ultraportable Greenhouse Gas Analyzer,15_New River Estuary_Freeman Creek Edge_2016_spring_Spartina alterniflora_euhaline__NA_creek edge
177,196,15,529,Czapla et al.,2020,"Net Ecosystem Carbon Balance in a North Carolina, USA, Salt Marsh",6,34.596012,-77.255933,subtropical/warm temperate,USA,North Carolina,New River Estuary,Freeman Creek Edge,NA,summer,NA,2016,2016,NA,NA,summer,summer,Spartina alterniflora,NA,creek edge,microtidal,euhaline,salinity in paper,3,3.090653,1.844003,SE,mg/m2/d,,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,in situ closed chamber with laser absorption spectroscopy portable gas analyzer,in situ,in situ closed chamber with laser absorption spectroscopy portable gas analyzer,LGR,,LGR Los Gatos Ultraportable Greenhouse Gas Analyzer,15_New River Estuary_Freeman Creek Edge_2016_summer_Spartina alterniflora_euhaline__NA_creek edge
178,197,15,531,Czapla et al.,2020,"Net Ecosystem Carbon Balance in a North Carolina, USA, Salt Marsh",7,34.596012,-77.255933,subtropical/warm temperate,USA,North Carolina,New River Estuary,Freeman Creek Interior,NA,fall,NA,2015,2015,NA,NA,fall,fall,Spartina alterniflora,NA,NA,microtidal,euhaline,salinity in paper,3,3.350371,0.986931,SE,mg/m2/d,,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,in situ closed chamber with laser absorption spectroscopy portable gas analyzer,in situ,in situ closed chamber with laser absorption spectroscopy portable gas analyzer,LGR,,LGR Los Gatos Ultraportable Greenhouse Gas Analyzer,15_New River Estuary_Freeman Creek Interior_2015_fall_Spartina alterniflora_euhaline__NA_NA
179,198,15,532,Czapla et al.,2020,"Net Ecosystem Carbon Balance in a North Carolina, USA, Salt Marsh",8,34.596012,-77.255933,subtropical/warm temperate,USA,North Carolina,New River Estuary,Freeman Creek Interior,NA,winter,NA,2015,2015,NA,NA,winter,winter,Spartina alterniflora,NA,NA,microtidal,euhaline,salinity in paper,3,-0.051944,0.207775,SE,mg/m2/d,,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,in situ closed chamber with laser absorption spectroscopy portable gas analyzer,in situ,in situ closed chamber with laser absorption spectroscopy portable gas analyzer,LGR,,LGR Los Gatos Ultraportable Greenhouse Gas Analyzer,15_New River Estuary_Freeman Creek Interior_2015_winter_Spartina alterniflora_euhaline__NA_NA
180,199,15,533,Czapla et al.,2020,"Net Ecosystem Carbon Balance in a North Carolina, USA, Salt Marsh",9,34.596012,-77.255933,subtropical/warm temperate,USA,North Carolina,New River Estuary,Freeman Creek Interior,NA,spring,NA,2016,2016,NA,NA,spring,spring,Spartina alterniflora,NA,NA,microtidal,euhaline,salinity in paper,3,1.142762,0.337634,SE,mg/m2/d,,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,in situ closed chamber with laser absorption spectroscopy portable gas analyzer,in situ,in situ closed chamber with laser absorption spectroscopy portable gas analyzer,LGR,,LGR Los Gatos Ultraportable Greenhouse Gas Analyzer,15_New River Estuary_Freeman Creek Interior_2016_spring_Spartina alterniflora_euhaline__NA_NA
181,200,15,534,Czapla et al.,2020,"Net Ecosystem Carbon Balance in a North Carolina, USA, Salt Marsh",10,34.596012,-77.255933,subtropical/warm temperate,USA,North Carolina,New River Estuary,Freeman Creek Interior,NA,summer,NA,2016,2016,NA,NA,summer,summer,Spartina alterniflora,NA,NA,microtidal,euhaline,salinity in paper,3,9.531676,6.233249,SE,mg/m2/d,,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,in situ closed chamber with laser absorption spectroscopy portable gas analyzer,in situ,in situ closed chamber with laser absorption spectroscopy portable gas analyzer,LGR,,LGR Los Gatos Ultraportable Greenhouse Gas Analyzer,15_New River Estuary_Freeman Creek Interior_2016_summer_Spartina alterniflora_euhaline__NA_NA
182,201,16,541,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,1,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean (whole day integration),NA,1988,1988,NA,NA,May,spring,Schoenoplectus americanus,NA,NA,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_May_Schoenoplectus americanus_mesohaline__NA_NA
183,202,16,539,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,2,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,June,summer,Schoenoplectus americanus,NA,NA,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_June_Schoenoplectus americanus_mesohaline__NA_NA
184,203,16,539,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,3,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,June,summer,Schoenoplectus americanus,NA,NA,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_June_Schoenoplectus americanus_mesohaline__NA_NA
185,204,16,539,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,4,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,June,summer,Schoenoplectus americanus,NA,NA,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_June_Schoenoplectus americanus_mesohaline__NA_NA
186,205,16,538,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,5,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,July,summer,Schoenoplectus americanus,NA,NA,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_July_Schoenoplectus americanus_mesohaline__NA_NA
187,206,16,538,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,6,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,July,summer,Schoenoplectus americanus,NA,NA,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_July_Schoenoplectus americanus_mesohaline__NA_NA
188,207,16,538,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,7,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,July,summer,Schoenoplectus americanus,NA,NA,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_July_Schoenoplectus americanus_mesohaline__NA_NA
189,208,16,538,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,8,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,July,summer,Schoenoplectus americanus,NA,NA,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_July_Schoenoplectus americanus_mesohaline__NA_NA
190,209,16,536,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,9,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,August,summer,Schoenoplectus americanus,NA,NA,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_August_Schoenoplectus americanus_mesohaline__NA_NA
191,210,16,536,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,10,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,August,summer,Schoenoplectus americanus,NA,NA,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_August_Schoenoplectus americanus_mesohaline__NA_NA
192,211,16,546,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,11,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,September,fall,Schoenoplectus americanus,NA,NA,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_September_Schoenoplectus americanus_mesohaline__NA_NA
193,212,16,546,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,12,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,September,fall,Schoenoplectus americanus,NA,NA,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_September_Schoenoplectus americanus_mesohaline__NA_NA
194,213,16,546,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,13,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,September,fall,Schoenoplectus americanus,NA,NA,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_September_Schoenoplectus americanus_mesohaline__NA_NA
195,214,16,544,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,14,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,October,fall,Schoenoplectus americanus,NA,NA,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_October_Schoenoplectus americanus_mesohaline__NA_NA
196,215,16,544,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,15,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,October,fall,Schoenoplectus americanus,NA,NA,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_October_Schoenoplectus americanus_mesohaline__NA_NA
197,216,16,544,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,16,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,October,fall,Schoenoplectus americanus,NA,NA,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_October_Schoenoplectus americanus_mesohaline__NA_NA
198,217,16,544,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,17,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,October,fall,Schoenoplectus americanus,NA,NA,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_October_Schoenoplectus americanus_mesohaline__NA_NA
199,218,16,542,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,18,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,May,spring,Spartina patens,NA,high,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_May_Spartina patens_mesohaline__NA_high
200,219,16,540,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,19,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,June,summer,Spartina patens,NA,high,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_June_Spartina patens_mesohaline__NA_high
201,220,16,540,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,20,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,June,summer,Spartina patens,NA,high,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_June_Spartina patens_mesohaline__NA_high
202,221,16,540,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,21,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,June,summer,Spartina patens,NA,high,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_June_Spartina patens_mesohaline__NA_high
203,222,16,537,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,22,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,August,summer,Spartina patens,NA,high,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_August_Spartina patens_mesohaline__NA_high
204,223,16,537,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,23,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,August,summer,Spartina patens,NA,high,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_August_Spartina patens_mesohaline__NA_high
205,224,16,547,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,24,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,September,fall,Spartina patens,NA,high,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_September_Spartina patens_mesohaline__NA_high
206,225,16,547,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,25,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,September,fall,Spartina patens,NA,high,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_September_Spartina patens_mesohaline__NA_high
207,226,16,545,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,26,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,October,fall,Spartina patens,NA,high,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_October_Spartina patens_mesohaline__NA_high
208,227,16,545,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,27,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,October,fall,Spartina patens,NA,high,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_October_Spartina patens_mesohaline__NA_high
209,228,16,545,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,28,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,October,fall,Spartina patens,NA,high,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_October_Spartina patens_mesohaline__NA_high
210,229,16,545,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,29,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,October,fall,Spartina patens,NA,high,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_October_Spartina patens_mesohaline__NA_high
211,230,16,543,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,30,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,November,fall,Spartina patens,NA,high,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_November_Spartina patens_mesohaline__NA_high
212,231,16,543,Drake and Leadley,1991,Canopy photosynthesis of crops and native plant communities exposed to long-term elevated CO2,31,38.883333,-76.55,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Kirkpatrick Marsh,NA,daily mean,NA,1988,1988,NA,NA,November,fall,Spartina patens,NA,high,microtidal,mesohaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,in situ closed chamber with portable infrared gas analyzer,BINOS,,"BINOS, Model 092",16_Chesapeake Bay_Kirkpatrick Marsh_1988_November_Spartina patens_mesohaline__NA_high
213,285,17,549,Derby et al.,2022,Vegetation and hydrology stratification as proxies to estimate methane emission from tidal marshes,5,38.185172,-75.906279,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Deal Island Peninsula,NA,day,NA,2015,2015,NA,NA,April,spring,Juncus sp.,NA,low,microtidal,mesohaline,salinity in paper,5,1.869974,3.116624,SE,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Varian,,Varian 450,17_Chesapeake Bay_Deal Island Peninsula_2015_April_Juncus sp._mesohaline_dark_NA_low
214,286,17,548,Derby et al.,2022,Vegetation and hydrology stratification as proxies to estimate methane emission from tidal marshes,6,38.185172,-75.906279,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Deal Island Peninsula,NA,day,NA,2015,2015,NA,NA,April,spring,Juncus sp.,NA,high,microtidal,mesohaline,salinity in paper,5,6.233248,3.739949,SE,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Varian,,Varian 450,17_Chesapeake Bay_Deal Island Peninsula_2015_April_Juncus sp._mesohaline_dark_NA_high
215,287,17,550,Derby et al.,2022,Vegetation and hydrology stratification as proxies to estimate methane emission from tidal marshes,7,38.185172,-75.906279,subtropical/warm temperate,USA,Maryland,Chesapeake Bay,Deal Island Peninsula,NA,day,NA,2015,2015,NA,NA,April,spring,Spartina alterniflora,NA,low,microtidal,mesohaline,salinity in paper,5,23.686342,9.349872,SE,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Varian,,Varian 450,17_Chesapeake Bay_Deal Island Peninsula_2015_April_Spartina alterniflora_mesohaline_dark_NA_low
