,num,p_num,unique_id,author,publish_year,title,m_num,lat,long,climate_region,country,state_province,estuary,marsh,specific_site,time_frame,sampling_year,sampling_year_full,specific_date_condition,specific_time,month,season,plant_species,plant_comment,section,tide,salinity,salinity_loc,ch4_n,ch4_flux,ch4_var,ch4_var_type,ch4_units,ch4_chamber,ch4_loc,soil_temp,soil_source,soil_temp_var,pw_salinity,pw_salinity_var,pw_conductivity,pw_conductivity_var,cond_convert,salinity_conductivity,enviro_source,ch4_method,ch4_method_simple,method,brand,brand2,model,repeat_flag,group_key,yi,vi
124,544,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,44,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/24/12,11:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,107,49.46,SD,umol/m2/h,light,fig,20.42,Hu et al. 2059,NA,NA,NA,0.37,0.02,0.194938682,0.194938682,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",5.36599785,3
125,545,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,45,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/24/12,13:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,81,27.94,SD,umol/m2/h,light,fig,20.42,Hu et al. 2060,NA,NA,NA,2.02,0.56,1.137419759,1.137419759,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",5.087634437,3
126,546,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,46,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/24/12,14:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,96,49.58,SD,umol/m2/h,light,fig,20.42,Hu et al. 2061,NA,NA,NA,1.87,0.23,1.04878575,1.04878575,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",5.257522498,3
127,547,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,47,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/24/12,15:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,110,32.86,SD,umol/m2/h,light,fig,20.42,Hu et al. 2062,NA,NA,NA,1.04,0.88,0.567553704,0.567553704,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",5.393648207,3
128,548,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,48,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/25/12,9:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,98,0.42,SD,umol/m2/h,light,fig,20.42,Hu et al. 2063,NA,NA,NA,1.6,0.65,0.890420999,0.890420999,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",5.278140689,3
129,549,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,49,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/25/12,10:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,69,26.92,SD,umol/m2/h,light,fig,20.42,Hu et al. 2064,NA,NA,NA,1.52,0.65,0.843809125,0.843809125,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",4.927306191,3
130,550,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,50,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/25/12,11:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,77,28.44,SD,umol/m2/h,light,fig,20.42,Hu et al. 2065,NA,NA,NA,1.73,0.29,0.966474544,0.966474544,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",5.036994765,3
131,551,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,51,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/25/12,12:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,67,25.52,SD,umol/m2/h,light,fig,20.42,Hu et al. 2066,NA,NA,NA,1.52,0.83,0.843809125,0.843809125,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",4.897895487,3
132,552,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,52,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/25/12,13:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,91,13.45,SD,umol/m2/h,light,fig,20.42,Hu et al. 2067,NA,NA,NA,1.69,0.27,0.94303368,0.94303368,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",5.204036875,3
133,553,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,53,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/25/12,14:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,73,39.93,SD,umol/m2/h,light,fig,20.42,Hu et al. 2068,NA,NA,NA,2,0,1.125576274,1.125576274,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",4.983653532,3
134,554,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,54,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/25/12,15:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,81,25.8,SD,umol/m2/h,light,fig,20.42,Hu et al. 2069,NA,NA,NA,1.69,0.5,0.94303368,0.94303368,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",5.087634437,3
135,555,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,55,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/26/12,10:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,37,18.1,SD,umol/m2/h,light,fig,20.42,Hu et al. 2070,NA,NA,NA,1.75,0,0.978207955,0.978207955,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",4.304247658,3
136,556,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,56,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/26/12,11:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,58,24.99,SD,umol/m2/h,light,fig,20.42,Hu et al. 2071,NA,NA,NA,1.48,0.81,0.820559651,0.820559651,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",4.753664499,3
137,557,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,57,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/26/12,12:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,54,12.67,SD,umol/m2/h,light,fig,20.42,Hu et al. 2072,NA,NA,NA,1.77,0.81,0.989949924,0.989949924,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",4.68221695,3
138,558,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,58,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/26/12,13:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,37,14.7,SD,umol/m2/h,light,fig,20.42,Hu et al. 2073,NA,NA,NA,1.27,0.73,0.699151902,0.699151902,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",4.304247658,3
139,559,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,59,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/26/12,14:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,50,26.19,SD,umol/m2/h,light,fig,20.42,Hu et al. 2074,NA,NA,NA,1.46,0.42,0.808949345,0.808949345,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",4.605270171,3
140,560,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,60,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/26/12,15:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,28,7.37,SD,umol/m2/h,light,fig,20.42,Hu et al. 2075,NA,NA,NA,1.4,0.67,0.774177295,0.774177295,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",4.025670416,3
141,561,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,61,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/26/12,16:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,47,15.59,SD,umol/m2/h,light,fig,20.42,Hu et al. 2076,NA,NA,NA,1.62,0.37,0.902096992,0.902096992,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",4.543407936,3
142,562,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,62,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/27/12,10:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,30,10.14,SD,umol/m2/h,light,fig,20.42,Hu et al. 2077,NA,NA,NA,1.25,0.69,0.68764913,0.68764913,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",4.094622224,3
143,563,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,63,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/27/12,11:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,41,12.74,SD,umol/m2/h,light,fig,20.42,Hu et al. 2078,NA,NA,NA,2.04,0.21,1.149270966,1.149270966,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",4.406867935,3
144,564,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,64,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/27/12,12:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,36,4.82,SD,umol/m2/h,light,fig,20.42,Hu et al. 2079,NA,NA,NA,2.04,1.02,1.149270966,1.149270966,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",4.276858964,3
145,565,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,65,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/27/12,13:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,30,11.5,SD,umol/m2/h,light,fig,20.42,Hu et al. 2080,NA,NA,NA,1.46,0.4,0.808949345,0.808949345,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",4.094622224,3
146,566,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,66,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/27/12,14:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,71,0.01,SD,umol/m2/h,light,fig,20.42,Hu et al. 2081,NA,NA,NA,1.56,0.56,0.867096474,0.867096474,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",4.955876647,3
147,567,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,67,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/27/12,15:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,64,10.83,SD,umol/m2/h,light,fig,20.42,Hu et al. 2082,NA,NA,NA,1.62,0.33,0.902096992,0.902096992,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",4.852091293,3
148,568,29,698,Huang et al.,2019,Effects of Tidal Scenarios on the Methane Emission Dynamics in the Subtropical Tidal Marshes of the Min River Estuary in Southeast China,68,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,"Low tide season, Shanyutan brackish tidal marsh",day,2012,2012,3/27/12,16:00:00,March,spring,Cyperus malaccensis,NA, middle littoral zone,macrotidal,oligohaline,salinity in paper,3,52,2.21,SD,umol/m2/h,light,fig,20.42,Hu et al. 2083,NA,NA,NA,1.65,0.52,0.919627916,0.919627916,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2014, Shimadzu",FALSE,"29_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2012_March_Cyperus malaccensis_oligohaline_light_Low tide season, Shanyutan brackish tidal marsh_ middle littoral zone",4.644483342,3
149,569,30,705,Hu et al.,2016,"Response of gaseous carbon emissions to low-level salinity increase in tidal marsh ecosystem of the Min River estuary, southeastern China",1,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,NA,day,2013,2013,NA,NA,November,fall,Cyperus malaccensis,NA,NA,macrotidal,oligohaline,Huang et al. 2019 and several other papers,4,51.112634,35.529514,SE,mg/m2/h,dark,fig,18.77,NA,NA,NA,NA,6.19,0.21,3.876557014,3.876557014,"tab, fig",closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2010, Shimadzu",FALSE,30_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2013_November_Cyperus malaccensis_oligohaline_dark_NA_NA,4.627274568,4
150,570,30,704,Hu et al.,2016,"Response of gaseous carbon emissions to low-level salinity increase in tidal marsh ecosystem of the Min River estuary, southeastern China",2,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,NA,day,2013,2013,NA,NA,December,winter,Cyperus malaccensis,NA,NA,macrotidal,oligohaline,Huang et al. 2019 and several other papers,4,16.82977,19.946394,SE,mg/m2/h,dark,fig,9.08,NA,NA,NA,NA,4.69,0.27,3.700832906,3.700832906,"tab, fig",closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2010, Shimadzu",FALSE,30_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2013_December_Cyperus malaccensis_oligohaline_dark_NA_NA,3.517177996,4
151,571,30,709,Hu et al.,2016,"Response of gaseous carbon emissions to low-level salinity increase in tidal marsh ecosystem of the Min River estuary, southeastern China",3,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,NA,day,2014,2014,NA,NA,January,winter,Cyperus malaccensis,NA,NA,macrotidal,oligohaline,Huang et al. 2019 and several other papers,4,8.726547,28.049616,SE,mg/m2/h,dark,fig,9.54,NA,NA,NA,NA,5.64,0,4.448948774,4.448948774,"tab, fig",closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2010, Shimadzu",FALSE,30_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2014_January_Cyperus malaccensis_oligohaline_dark_NA_NA,2.862783772,4
152,572,30,708,Hu et al.,2016,"Response of gaseous carbon emissions to low-level salinity increase in tidal marsh ecosystem of the Min River estuary, southeastern China",4,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,NA,day,2014,2014,NA,NA,February,winter,Cyperus malaccensis,NA,NA,macrotidal,oligohaline,Huang et al. 2019 and several other papers,4,8.726547,0.623325,SE,mg/m2/h,dark,fig,10.92,NA,NA,NA,NA,4.25,0,3.167811742,3.167811742,"tab, fig",closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2010, Shimadzu",FALSE,30_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2014_February_Cyperus malaccensis_oligohaline_dark_NA_NA,2.862783772,4
153,573,30,712,Hu et al.,2016,"Response of gaseous carbon emissions to low-level salinity increase in tidal marsh ecosystem of the Min River estuary, southeastern China",5,26.03358,119.61961,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,NA,day,2014,2014,NA,NA,March,spring,Cyperus malaccensis,NA,NA,macrotidal,oligohaline,Huang et al. 2019 and several other papers,4,8.726547,0.623325,SE,mg/m2/h,dark,fig,12.54,NA,NA,NA,NA,3.14,0.19,2.19977877,2.19977877,"tab, fig",closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2010, Shimadzu",FALSE,30_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2014_March_Cyperus malaccensis_oligohaline_dark_NA_NA,2.862783772,4
